source_id,query_id,source_type,search_platform,original_title,english_working_title,author_or_institution,year,doi,stable_url,publisher_or_host,language,document_type,study_area,population_group,core_topic,method_or_data_type,verified_status,overlap_category,matrix_destination,translation_needed,manual_check_needed,notes
R02_CINII_001,R02-Q01,academic_metadata,CiNii Research OpenSearch,公的住宅団地における高学歴技術職の中国籍住民の居住実態と地域との関わりに関する研究 : 首都圏2団地の住民インタビュー調査から,,王 爽; 藤井 さやか,2021,NA,https://cir.nii.ac.jp/crid/1520574047068685952,東京 : 日本生活学会,ja,Article,Tokyo/Japan,Chinese residents,chinese;housing;japan;tokyo,NA,partial,B_partial_overlap_candidate,gap_verification_matrix.csv (pending manual verification),yes,yes,CiNii metadata-only triage round02; group=QG-A; concepts=chinese;housing;japan;tokyo; manual verification required
R02_CINII_002,R02-Q01,academic_metadata,CiNii Research OpenSearch,東アジアにおける近代都市空間の生成過程と日本的社会＝空間構造の影響に関する研究,,濱 定史; 延 圭憲; 翁 意軒; 砂川 晴彦; 伊藤 裕久; 栢木 まどか; 箕浦 永子,NA,NA,https://cir.nii.ac.jp/crid/1040000781846544128,,ja,Project,Japan,,japan;spatial_method,spatial_method,partial,D_method_support_candidate,literature_matrix.csv (pending verification),yes,yes,CiNii metadata-only triage round02; group=QG-A; concepts=japan;spatial_method; manual verification required
R02_CINII_003,R02-Q01,academic_metadata,CiNii Research OpenSearch,ハンガリー,,加賀美 雅弘; コヴァーチュ ゾルターン,2009,10.14866/ajg.2009s.0.44.0;,https://cir.nii.ac.jp/crid/1390001205693098624,公益社団法人 日本地理学会,ja,Article,Japan,,japan,NA,unverified,hold_for_translation_or_manual_check,hold_pending_translation,yes,yes,CiNii metadata-only triage round02; group=QG-A; concepts=japan; manual verification required
R02_CINII_004,R02-Q01,academic_metadata,CiNii Research OpenSearch,"訓令・通達・回答(5273)永住者の資格で日本に居住する中国人夫婦が妻の兄夫婦の嫡出子を養子とする創設的縁組届出について,養親となる夫婦は中華人民共和国養子縁組法第7条第2項における華僑であると認められるが,妻の兄の子は姻族であることから,同法第7条第1項及び第2項の「3代以内の同輩の傍系血族の子を養子とするとき」に該当しないため養子縁組をすることはできないとされた事例(平成22年6月23日付け法務省民一第1540号民事局民事第一課長回答)",,,2010,NA,https://cir.nii.ac.jp/crid/1523951029617355392,東京 : テイハン,ja,Article,Tokyo/Japan,Chinese residents,chinese;housing;japan;tokyo,NA,partial,B_partial_overlap_candidate,gap_verification_matrix.csv (pending manual verification),yes,yes,CiNii metadata-only triage round02; group=QG-A; concepts=chinese;housing;japan;tokyo; manual verification required
R02_CINII_005,R02-Q01,academic_metadata,CiNii Research OpenSearch,住宅制度改革以降の中国の人口移動と地域構造 : 不動産価格と社会的諸要因に注目したフィールド調査,,"阿部, 康久; 桑, 雯月; 楊, 楠; 高, 寧",NA,NA,https://cir.nii.ac.jp/crid/2120870839902913024,,ja,OtherWorks,,Chinese residents,chinese;housing,NA,partial,E_background_candidate,background (pending verification),yes,yes,CiNii metadata-only triage round02; group=QG-A; concepts=chinese;housing; manual verification required
R02_CINII_006,R02-Q01,academic_metadata,CiNii Research OpenSearch,東京における外国人自営業者層の形成と地域社会変客,,田嶋 淳子,NA,NA,https://cir.nii.ac.jp/crid/1040282256623986432,,ja,Project,Tokyo/Japan,foreign residents,foreign_resident;tokyo,NA,partial,E_background_candidate,background (pending verification),yes,yes,CiNii metadata-only triage round02; group=QG-A; concepts=foreign_resident;tokyo; manual verification required
R02_CINII_007,R02-Q01,academic_metadata,CiNii Research OpenSearch,東南アジア地方都市社会における「文化複合」の研究,,青木 保; 永渕 康之; 梶原 景昭; 友杉 孝,NA,NA,https://cir.nii.ac.jp/crid/1040000770874367744,,ja,Project,,,none,NA,partial,hold_for_translation_or_manual_check,hold_pending_translation,yes,yes,CiNii metadata-only triage round02; group=QG-A; concepts=none; manual verification required
R02_CINII_008,R02-Q01,academic_metadata,CiNii Research OpenSearch,独立後インドネシアの住民区分過程における、華人の法的・社会的地位の変遷,,松村 智雄,NA,NA,https://cir.nii.ac.jp/crid/1040000782488530304,,ja,Project,,Chinese residents,chinese,NA,partial,E_background_candidate,background (pending verification),yes,yes,CiNii metadata-only triage round02; group=QG-A; concepts=chinese; manual verification required
R02_CINII_009,R02-Q01,academic_metadata,CiNii Research OpenSearch,ムスリム支配期・英領期における南アジアの都市形成,,柳澤 悠; 柳沢 悠; AMELENDU De; 麻田 豊; 臼田 雅之; 佐藤 宏; 辛島 昇; DE Amelendu,NA,NA,https://cir.nii.ac.jp/crid/1040282257342505984,,ja,Project,,,none,NA,partial,hold_for_translation_or_manual_check,hold_pending_translation,yes,yes,CiNii metadata-only triage round02; group=QG-A; concepts=none; manual verification required
R02_CINII_010,R02-Q01,academic_metadata,CiNii Research OpenSearch,ニューヨーク市ブルックリン北部におけるジェントリフィケーションと地誌学習,,藤塚 吉浩,2021,10.14866/ajg.2021s.0_157;,https://cir.nii.ac.jp/crid/1390850475730582400,公益社団法人 日本地理学会,ja,Article,Japan,,japan,NA,unverified,hold_for_translation_or_manual_check,hold_pending_translation,yes,yes,CiNii metadata-only triage round02; group=QG-A; concepts=japan; manual verification required
